epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6306,1.85992,2.69467,1.30161,0.98999,0.08911,0.25103,0.14342,1.37463,2.58197,1.0676,0.000465256,0.000465256,0.000465256
2,18.0884,1.33777,1.32816,1.00153,0.92602,0.21775,0.34904,0.21812,1.31701,2.14016,1.03951,0.000922946,0.000922946,0.000922946
3,25.5633,1.26302,1.09484,0.99252,0.40593,0.36386,0.39859,0.25413,1.24382,1.34021,1.07031,0.00136177,0.00136177,0.00136177
4,32.9164,1.24804,1.04089,0.99696,0.90743,0.39527,0.48509,0.28332,1.25599,1.14536,1.06029,0.00134412,0.00134412,0.00134412
5,40.2875,1.18309,0.92978,0.97737,0.57365,0.49339,0.4994,0.30577,1.18572,1.13521,1.02436,0.00131582,0.00131582,0.00131582
6,47.636,1.14536,0.86969,0.96234,0.61734,0.48716,0.51294,0.32372,1.12995,1.02706,0.9946,0.00128753,0.00128753,0.00128753
7,54.9732,1.10455,0.81327,0.94343,0.68853,0.49747,0.55925,0.35535,1.15983,0.97339,1.00451,0.00125923,0.00125923,0.00125923
8,62.1782,1.07427,0.77787,0.93859,0.66719,0.56836,0.55285,0.33809,1.19707,0.95979,1.02376,0.00123094,0.00123094,0.00123094
9,69.4785,1.0971,0.78287,0.94405,0.74711,0.534,0.60242,0.37664,1.1653,0.95865,1.02791,0.00120265,0.00120265,0.00120265
10,76.7859,1.07926,0.73817,0.93014,0.60821,0.54095,0.57594,0.34687,1.21141,0.98628,1.0216,0.00117435,0.00117435,0.00117435
11,84.1511,1.02913,0.70375,0.92414,0.76487,0.51007,0.58691,0.37251,1.16441,0.96025,1.01201,0.00114606,0.00114606,0.00114606
12,91.5498,1.02352,0.68503,0.92399,0.75674,0.55151,0.61327,0.38141,1.18943,0.95068,1.02231,0.00111776,0.00111776,0.00111776
13,99.0461,1.00773,0.68177,0.9182,0.78614,0.57182,0.63281,0.39627,1.14133,0.83111,1.00274,0.00108947,0.00108947,0.00108947
14,106.46,1.00624,0.66162,0.91149,0.62519,0.60019,0.60516,0.38819,1.19214,0.83758,1.02394,0.00106118,0.00106118,0.00106118
15,113.871,0.98648,0.65043,0.91628,0.63371,0.58049,0.61337,0.39126,1.166,0.83048,1.01003,0.00103288,0.00103288,0.00103288
16,121.336,0.96378,0.6218,0.90645,0.75592,0.54436,0.61559,0.39669,1.19229,0.83026,1.02162,0.00100459,0.00100459,0.00100459
17,128.798,0.96993,0.61661,0.9023,0.73764,0.61009,0.64309,0.42017,1.15296,0.82886,1.00027,0.000976293,0.000976293,0.000976293
18,136.055,0.93958,0.60091,0.9052,0.78704,0.57442,0.60771,0.38877,1.17429,0.86085,1.01167,0.000947999,0.000947999,0.000947999
19,143.382,0.95919,0.59755,0.89766,0.74525,0.59729,0.6382,0.41561,1.13121,0.73874,0.99599,0.000919704,0.000919704,0.000919704
20,150.658,0.96595,0.6041,0.8994,0.74772,0.58962,0.63379,0.411,1.18415,0.82777,1.00662,0.00089141,0.00089141,0.00089141
21,158.07,0.94478,0.58316,0.89844,0.83176,0.58905,0.6591,0.43723,1.13995,0.80648,0.99021,0.000863116,0.000863116,0.000863116
22,165.403,0.93062,0.57517,0.89704,0.75664,0.54522,0.62705,0.40148,1.14895,0.8408,0.99066,0.000834822,0.000834822,0.000834822
23,172.631,0.89173,0.54989,0.88333,0.81531,0.52605,0.62722,0.39287,1.18065,0.80228,1.01092,0.000806528,0.000806528,0.000806528
24,180.085,0.89584,0.54858,0.89455,0.8507,0.58664,0.69178,0.45105,1.11916,0.71752,0.99207,0.000778233,0.000778233,0.000778233
25,187.389,0.89292,0.53912,0.88974,0.71653,0.58935,0.64838,0.42685,1.13551,0.76852,0.99341,0.000749939,0.000749939,0.000749939
26,194.577,0.85196,0.52862,0.88047,0.71859,0.57339,0.63619,0.41012,1.12134,0.77399,0.9933,0.000721645,0.000721645,0.000721645
